listaDijkstra,listaEstrela,matrizDijkstra,matrizEstrela
56,11,79,93
35,10,56,125
42,42,49,326
73,95,98,1284
30,14,51,188
28,15,79,258
402,56,491,537
94,17,232,304
67,32,210,433
199,29,394,304
60,86,122,1559
122,63,325,827
73,53,158,1006
96,53,216,730
156,27,488,445
3599,31,6610,455
70,234,330,3047
112,128,194,1629
177,86,272,1104
147,45,1270,668
2293,21,5358,175
229,147,434,2549
491,78,2510,883
461,22,1108,298
215,147,3262,1821
84,35,679,214
1799,52,9341,637
871,157,2275,1940
746,87,1268,1582
408,207,953,2894
